GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
2-cleanproject-application,default,GradeService,129,0,8,0,28,0,7,0,3,0
2-cleanproject-application,default,NoGradesException,4,0,0,0,2,0,1,0,1,0
2-cleanproject-application,default,ExamNotFoundException,5,0,0,0,2,0,1,0,1,0
2-cleanproject-application,default,ExamService,4,40,0,2,1,11,1,4,1,3
2-cleanproject-application,default,LectureService,0,37,0,2,0,11,0,5,0,4
2-cleanproject-application,default,LectureNotFoundException,0,5,0,0,0,2,0,1,0,1
